kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
HIC,High income,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.6,4.5,4.4,4.3
HND,Honduras,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,15.9,15.4,14.9,14.5
HPC,Heavily indebted poor countries (HIPC),"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,49.5512668343816,48.1679135592213,47.4834834944594,46.2413575696403
HRV,Croatia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.1,4.1,4.0,4.0
HTI,Haiti,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,47.2,46.0,44.7,43.6
HUN,Hungary,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.7,3.6,3.4,3.4
IBD,IBRD only,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,19.7750570088678,19.502307671502,18.8656202369111,18.5749446327992
IBT,IDA & IBRD total,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,32.3745411850762,31.9305017262586,31.4755289235234,31.3552888585145
IDA,IDA total,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,50.6952918637012,48.9756798608582,48.1023010212298,47.0718489149806
IDB,IDA blend,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,58.1936266652929,57.3755486802668,56.6192818639053,55.8344682690458
IDN,Indonesia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,20.1,19.3,18.5,17.7
IDX,IDA only,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,46.5280495003312,44.3767994211272,43.5098355236627,42.4022915426146
IND,India,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,32.9,31.3,29.8,28.3
IRL,Ireland,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.0,3.0,3.0,3.1
IRN,"Iran, Islamic Rep.","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.0,12.6,12.1,11.8
IRQ,Iraq,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,25.1,24.3,23.5,22.8
ISL,Iceland,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.0,2.1,2.1,2.1
ISR,Israel,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.0,2.9,2.9,2.8
ITA,Italy,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.8,2.7,2.6,2.5
JAM,Jamaica,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,17.2,17.2,17.2,17.2
JOR,Jordan,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.3,14.0,13.7,13.3
JPN,Japan,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,1.9,1.9,1.8,1.8
KAZ,Kazakhstan,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.4,8.2,8.1,8.0
KEN,Kenya,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,38.2,37.5,37.0,36.5
KGZ,Kyrgyz Republic,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,17.4,16.6,16.0,15.6
KHM,Cambodia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,22.5,21.2,20.1,19.2
