kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
PAK,Pakistan,"Population, total",SP.POP.TOTL,223273967.0,226928892.0,230800899.0,235001746.0
PAN,Panama,"Population, total",SP.POP.TOTL,4098707.0,4167860.0,4234700.0,4293261.0
PER,Peru,"Population, total",SP.POP.TOTL,31324637.0,31897584.0,32449303.0,32838579.0
PHL,Philippines,"Population, total",SP.POP.TOTL,108119693.0,109465287.0,110804683.0,112081264.0
PLW,Palau,"Population, total",SP.POP.TOTL,17812.0,17814.0,17798.0,17792.0
PNG,Papua New Guinea,"Population, total",SP.POP.TOTL,9178714.0,9394513.0,9609010.0,9815746.0
POL,Poland,"Population, total",SP.POP.TOTL,37974826.0,37974750.0,37965475.0,37515748.0
PRE,Pre-demographic dividend,"Population, total",SP.POP.TOTL,920568701.0,946317177.0,972302503.0,998624261.0
PRI,Puerto Rico (US),"Population, total",SP.POP.TOTL,3410837.0,3290690.0,3302691.0,3281590.0
PRK,"Korea, Dem. People's Rep.","Population, total",SP.POP.TOTL,25817709.0,25931147.0,26037632.0,26136312.0
PRT,Portugal,"Population, total",SP.POP.TOTL,10300300.0,10283822.0,10286263.0,10297081.0
PRY,Paraguay,"Population, total",SP.POP.TOTL,6338660.0,6427382.0,6515058.0,6603739.0
PSE,West Bank and Gaza,"Population, total",SP.POP.TOTL,4454805.0,4569087.0,4685306.0,4803269.0
PSS,Pacific island small states,"Population, total",SP.POP.TOTL,2509999.0,2542009.0,2568656.0,2595522.0
PST,Post-demographic dividend,"Population, total",SP.POP.TOTL,1107161559.0,1111377470.0,1114898817.0,1117007476.0
PYF,French Polynesia,"Population, total",SP.POP.TOTL,280087.0,279815.0,279034.0,279209.0
QAT,Qatar,"Population, total",SP.POP.TOTL,2545820.0,2580734.0,2638657.0,2794148.0
ROU,Romania,"Population, total",SP.POP.TOTL,19588715.0,19473970.0,19371648.0,19265250.0
RUS,Russian Federation,"Population, total",SP.POP.TOTL,145293260.0,145398106.0,145453291.0,145245148.0
RWA,Rwanda,"Population, total",SP.POP.TOTL,12202060.0,12487996.0,12776103.0,13065837.0
SAS,South Asia,"Population, total",SP.POP.TOTL,1572520427.0,1589164714.0,1605412986.0,1621073417.0
SAU,Saudi Arabia,"Population, total",SP.POP.TOTL,30977355.0,30196281.0,30063799.0,31552510.0
SDN,Sudan,"Population, total",SP.POP.TOTL,42714306.0,44230596.0,45548175.0,46789231.0
SEN,Senegal,"Population, total",SP.POP.TOTL,15475002.0,15914498.0,16352922.0,16789219.0
SGP,Singapore,"Population, total",SP.POP.TOTL,5612253.0,5638676.0,5703569.0,5685807.0
SLB,Solomon Islands,"Population, total",SP.POP.TOTL,685672.0,709101.0,728147.0,744498.0
SLE,Sierra Leone,"Population, total",SP.POP.TOTL,7379299.0,7554563.0,7731991.0,7912558.0
SLV,El Salvador,"Population, total",SP.POP.TOTL,6213533.0,6219807.0,6222318.0,6234673.0
SMR,San Marino,"Population, total",SP.POP.TOTL,33825.0,34522.0,34663.0,34770.0
SOM,"Somalia, Fed. Rep.","Population, total",SP.POP.TOTL,14916629.0,15452487.0,16030971.0,16651191.0
SRB,Serbia,"Population, total",SP.POP.TOTL,7020858.0,6982604.0,6945235.0,6899126.0
SSA,Sub-Saharan Africa (excluding high income),"Population, total",SP.POP.TOTL,971179323.0,997236086.0,1023480610.0,1049999318.0
SSD,South Sudan,"Population, total",SP.POP.TOTL,10259154.0,10122977.0,10423384.0,10698467.0
SSF,Sub-Saharan Africa,"Population, total",SP.POP.TOTL,1080941647.0,1109997000.0,1139315618.0,1169015451.0
SST,Small states,"Population, total",SP.POP.TOTL,18865506.0,19084934.0,19293697.0,19472157.0
STP,Sao Tome and Principe,"Population, total",SP.POP.TOTL,206970.0,210187.0,213392.0,217435.0
SUR,Suriname,"Population, total",SP.POP.TOTL,593713.0,599513.0,605768.0,612317.0
SVK,Slovak Republic,"Population, total",SP.POP.TOTL,5439232.0,5446771.0,5454147.0,5458827.0
SVN,Slovenia,"Population, total",SP.POP.TOTL,2066388.0,2073894.0,2088385.0,2102419.0
SWE,Sweden,"Population, total",SP.POP.TOTL,10057698.0,10175214.0,10278887.0,10353442.0
SWZ,Eswatini,"Population, total",SP.POP.TOTL,1158195.0,1168929.0,1179874.0,1192729.0
SXM,Sint Maarten (Dutch part),"Population, total",SP.POP.TOTL,38996.0,39712.0,40385.0,41008.0
SYC,Seychelles,"Population, total",SP.POP.TOTL,95843.0,96762.0,97625.0,98462.0
SYR,Syrian Arab Republic,"Population, total",SP.POP.TOTL,19224668.0,19577845.0,20353534.0,21049429.0
TCA,Turks and Caicos Islands,"Population, total",SP.POP.TOTL,39913.0,41559.0,43166.0,44386.0
TCD,Chad,"Population, total",SP.POP.TOTL,15622759.0,16156531.0,16685223.0,17224679.0
TEA,East Asia & Pacific (IDA & IBRD countries),"Population, total",SP.POP.TOTL,2061449949.0,2074796982.0,2086281644.0,2095759417.0
TEC,Europe & Central Asia (IDA & IBRD countries),"Population, total",SP.POP.TOTL,458010325.0,459946883.0,461933206.0,462842288.0
TGO,Togo,"Population, total",SP.POP.TOTL,8057140.0,8258778.0,8463068.0,8669720.0
THA,Thailand,"Population, total",SP.POP.TOTL,71160187.0,71376079.0,71522271.0,71641484.0
TJK,Tajikistan,"Population, total",SP.POP.TOTL,9085946.0,9307333.0,9529966.0,9749310.0
TKM,Turkmenistan,"Population, total",SP.POP.TOTL,6507061.0,6655524.0,6803944.0,6949912.0
TLA,Latin America & the Caribbean (IDA & IBRD countries),"Population, total",SP.POP.TOTL,614776664.0,620274430.0,625467307.0,630051021.0
TLS,Timor-Leste,"Population, total",SP.POP.TOTL,1251703.0,1275959.0,1300945.0,1326053.0
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)","Population, total",SP.POP.TOTL,652312809.0,663878345.0,675805691.0,687728758.0
TON,Tonga,"Population, total",SP.POP.TOTL,105356.0,105567.0,105669.0,105704.0
TSA,South Asia (IDA & IBRD),"Population, total",SP.POP.TOTL,1572520427.0,1589164714.0,1605412986.0,1621073417.0
