cause_id,penyebab_kematian
CS00657,"Inflammatory disorders of male genital organs, not elsewhere classified"
CS00658,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy
CS00659,Fetus and newborn affected by maternal complications of pregnancy
CS00660,"Fetus and newborn affected by complications of placenta, cord and membranes"
CS00661,Fetus and newborn affected by other complications of labour and delivery
CS00662,Slow fetal growth and fetal malnutrition
CS00663,"Disorders related to short gestation and low birth weight, not elsewhere classified"
CS00664,Other birth injuries to central nervous system
CS00665,Other birth injuries
CS00666,Intrauterine hypoxia
CS00667,Birth asphyxia
CS00668,Respiratory distress of newborn
CS00669,Congenital pneumonia
CS00670,Neonatal aspiration syndromes
CS00671,Interstitial emphysema and related conditions originating in the perinatal period
CS00672,Pulmonary haemorrhage originating in the perinatal period
CS00673,Chronic respiratory disease originating in the perinatal period
CS00674,Other respiratory conditions originating in the perinatal period
CS00675,Cardiovascular disorders originating in the perinatal period
CS00676,Congenital viral diseases
CS00677,Bacterial sepsis of newborn
CS00678,Omphalitis of newborn with or without mild haemorrhage
CS00679,Fetal blood loss
CS00680,Umbilical haemorrhage of newborn
CS00681,Intracranial nontraumatic haemorrhage of fetus and newborn
CS00682,Haemolytic disease of fetus and newborn
CS00683,Kernicterus
CS00684,Neonatal jaundice due to other excessive haemolysis
CS00685,Neonatal jaundice from other and unspecified causes
CS00686,Disseminated intravascular coagulation of fetus and newborn
CS00687,Other perinatal haematological disorders
CS00688,Transitory disorders of carbohydrate metabolism specific to fetus and newborn
CS00689,Other intestinal obstruction of newborn
CS00690,Necrotizing enterocolitis of fetus and newborn
CS00691,Other perinatal digestive system disorders
CS00692,Hypothermia of newborn
CS00693,Other disturbances of temperature regulation of newborn
CS00694,Convulsions of newborn
CS00695,Other disturbances of cerebral status of newborn
CS00696,Feeding problems of newborn
CS00697,Other conditions originating in the perinatal period
CS00698,Anencephaly and similar malformations
CS00699,Encephalocele
